subject_1,subject_2,number_students,PPE_TakingSubj2,PPE_NOTTakingSubj2,Performance_Diff
Accounting/Finance,Mathematics (Statistics),174,28.93,27.42,1.51
Accounting/Finance,Media/Film/Tv Studies,150,26.11,29.97,-3.86
Accounting/Finance,Modern Greek,0,NA,30.81,NA
Accounting/Finance,Modern Hebrew,0,NA,33.14,NA
Accounting/Finance,Music,14,28.49,30.33,-1.84
Accounting/Finance,Music Technology,19,23.47,24.48,-1.01
Accounting/Finance,Other Classical Languages,0,NA,31.34,NA
Accounting/Finance,Persian,0,NA,31.36,NA
Accounting/Finance,Physical Education/Sports Studies,240,31.54,26.84,4.7
Accounting/Finance,Physics,388,40.78,33.26,7.52
Accounting/Finance,Polish,10,9.63,24.82,-15.19
Accounting/Finance,Portuguese,0,NA,27.66,NA
Accounting/Finance,Psychology,773,24.25,26.2,-1.95
Accounting/Finance,Punjabi,0,NA,29.61,NA
Accounting/Finance,Religious Studies,56,23.38,24.4,-1.02
Accounting/Finance,Russian,0,NA,23.78,NA
Accounting/Finance,Sociology,365,25.09,30.51,-5.42
Accounting/Finance,Spanish,90,23.78,25.99,-2.21
Accounting/Finance,Turkish,0,NA,27.88,NA
Accounting/Finance,Urdu,0,NA,28.02,NA
Ancient History,Accounting/Finance,57,22.81,30.04,-7.23
Ancient History,Arabic,0,NA,35.36,NA
Ancient History,Art & Design,69,32.61,34.19,-1.58
Ancient History,Art & Design (3d Studies),26,28,30.65,-2.65
Ancient History,Art & Design (Critical Studies),0,NA,34.13,NA
Ancient History,Art & Design (Fine Art),221,26.75,32.11,-5.36
Ancient History,Art & Design (Graphics),128,28.37,34.73,-6.36
Ancient History,Art & Design (Photography),101,31.86,33.37,-1.51
Ancient History,Art & Design (Textiles),37,35.1,36.9,-1.8
Ancient History,Bengali,0,NA,38.99,NA
Ancient History,Biology,410,37.37,32.5,4.87
Ancient History,Business  Studies:Single,253,38.67,38.52,0.15
Ancient History,Chemistry,250,39.79,35.38,4.41
Ancient History,Chinese,0,NA,31.3,NA
Ancient History,Classical Civilisation,312,34.79,37.79,-3
Ancient History,Classical Greek,23,51.97,29.86,22.11
Ancient History,Computer Studies/Computing,139,37.09,38.31,-1.22
Ancient History,D&T Engineering,0,NA,33.33,NA
Ancient History,D&T Product Design,11,31.13,30.77,0.36
Ancient History,D&T Textiles Technology,0,NA,34.46,NA
Ancient History,Dance,8,16.54,31.21,-14.67
Ancient History,Design & Technology,0,NA,33.54,NA
Ancient History,Drama & Theatre Studies,103,34.57,31.37,3.2
Ancient History,Economics,278,38.09,33.11,4.98
Ancient History,Electronics,15,25.71,30.36,-4.65
Ancient History,English Language,338,37.59,39.39,-1.8
Ancient History,English Language & Literature,285,38.43,36,2.43
Ancient History,English Literature,865,41.46,38.01,3.45
Ancient History,Environmental Science,47,31.9,34.34,-2.44
Ancient History,Film Studies,194,31.73,32.22,-0.49
Ancient History,French,70,47.49,39.3,8.19
Ancient History,Geography,307,34.71,35.08,-0.37
Ancient History,Geology,43,23.62,30.55,-6.93
Ancient History,German,68,45.45,38.18,7.27
Ancient History,Government & Politics,499,37.45,35.44,2.01
Ancient History,Gujarati,0,NA,34.31,NA
Ancient History,History,911,35.03,34.03,1
Ancient History,History of Art,45,44.94,35.22,9.72
Ancient History,Home Economics: Food,0,NA,39.34,NA
Ancient History,Information & Communications Technology,0,NA,38.87,NA
Ancient History,Irish,0,NA,34.65,NA
Ancient History,Italian,21,52.57,37.16,15.41
Ancient History,Japanese,0,NA,32.81,NA
Ancient History,Latin,64,46.21,29.57,16.64
Ancient History,Law,365,32.27,33.84,-1.57
Ancient History,Logic/ Philosophy,265,40.92,38.48,2.44
Ancient History,Mathematics,529,39.03,33.21,5.82
Ancient History,Mathematics (Further),55,47.11,32.87,14.24
Ancient History,Mathematics (Statistics),19,27.33,34.5,-7.17
Ancient History,Media/Film/Tv Studies,121,28.42,30.95,-2.53
Ancient History,Modern Greek,0,NA,34.83,NA
Ancient History,Modern Hebrew,0,NA,29.94,NA
Ancient History,Music,52,37.94,34.76,3.18
Ancient History,Music Technology,41,41.55,37.59,3.96
Ancient History,Other Classical Languages,0,NA,33.56,NA
Ancient History,Persian,0,NA,38,NA
Ancient History,Physical Education/Sports Studies,69,29.21,30.01,-0.8
Ancient History,Physics,168,32.68,32.48,0.2
Ancient History,Polish,6,37.24,31.87,5.37
Ancient History,Portuguese,0,NA,37.37,NA
Ancient History,Psychology,646,34.34,34.69,-0.35
Ancient History,Punjabi,0,NA,29.88,NA
Ancient History,Religious Studies,277,38.93,35.91,3.02
Ancient History,Russian,7,54.11,38.73,15.38
Ancient History,Sociology,399,27.96,30.05,-2.09
Ancient History,Spanish,75,36.61,34.29,2.32
Ancient History,Turkish,0,NA,36.54,NA
Ancient History,Urdu,0,NA,36.17,NA
Arabic,Accounting/Finance,8,23.99,47.19,-23.2
Arabic,Ancient History,0,NA,45.69,NA
Arabic,Art & Design,43,40.4,42.11,-1.71
Arabic,Art & Design (3d Studies),47,42.21,38.12,4.09
Arabic,Art & Design (Critical Studies),2,1.06,44.26,-43.2
Arabic,Art & Design (Fine Art),81,51.4,47.75,3.65
Arabic,Art & Design (Graphics),35,34.98,39.82,-4.84
Arabic,Art & Design (Photography),33,50.89,47.97,2.92
Arabic,Art & Design (Textiles),48,44.97,48.14,-3.17
Arabic,Bengali,0,NA,47.85,NA
Arabic,Biology,1180,45.65,34.66,10.99
Arabic,Business  Studies:Single,275,48.28,43.14,5.14
Arabic,Chemistry,1345,50.23,38.58,11.65
Arabic,Chinese,0,NA,44.64,NA
Arabic,Classical Civilisation,8,60.18,43.26,16.92
Arabic,Classical Greek,0,NA,42.5,NA
Arabic,Computer Studies/Computing,139,39.78,45.25,-5.47
Arabic,D&T Engineering,0,NA,44.62,NA
Arabic,D&T Product Design,15,30.62,43.81,-13.19
Arabic,D&T Textiles Technology,0,NA,45.91,NA
Arabic,Dance,0,NA,41.03,NA
Arabic,Design & Technology,0,NA,47.95,NA
Arabic,Drama & Theatre Studies,5,32.97,46.1,-13.13
Arabic,Economics,176,49.55,44.7,4.85
Arabic,Electronics,0,NA,39.45,NA
Arabic,English Language,80,32.55,42.65,-10.1
Arabic,English Language & Literature,16,57.04,40.08,16.96
Arabic,English Literature,78,47.12,39.14,7.98
Arabic,Environmental Science,0,NA,46.09,NA
Arabic,Film Studies,13,49.54,47.64,1.9
Arabic,French,52,48.06,46.14,1.92
Arabic,Geography,54,52.38,47.92,4.46
Arabic,Geology,0,NA,41.36,NA
Arabic,German,0,NA,40.27,NA
Arabic,Government & Politics,80,28.46,38.55,-10.09
Arabic,Gujarati,0,NA,38.94,NA
Arabic,History,54,43.6,39.13,4.47
Arabic,History of Art,0,NA,43.63,NA
Arabic,Home Economics: Food,0,NA,45.21,NA
Arabic,Information & Communications Technology,0,NA,45.3,NA
Arabic,Irish,0,NA,45.96,NA
Arabic,Italian,14,51.81,44.89,6.92
Arabic,Japanese,0,NA,39.8,NA
Arabic,Latin,0,NA,45.23,NA
Arabic,Law,36,38.3,41.45,-3.15
Arabic,Logic/ Philosophy,3,11.25,44.43,-33.18
Arabic,Mathematics,1166,44.73,36.39,8.34
Arabic,Mathematics (Further),134,60.01,45.55,14.46
Arabic,Mathematics (Statistics),8,55.17,38.24,16.93
Arabic,Media/Film/Tv Studies,63,43.73,43.84,-0.11
Arabic,Modern Greek,0,NA,41.47,NA
Arabic,Modern Hebrew,0,NA,41.21,NA
Arabic,Music,0,NA,40.7,NA
Arabic,Music Technology,0,NA,46.06,NA
Arabic,Other Classical Languages,0,NA,38.84,NA
Arabic,Persian,0,NA,38.99,NA
Arabic,Physical Education/Sports Studies,19,44.64,44.42,0.22
Arabic,Physics,345,46.79,40.83,5.96
Arabic,Polish,0,NA,47.71,NA
Arabic,Portuguese,0,NA,39.53,NA
Arabic,Psychology,548,50.56,46.07,4.49
Arabic,Punjabi,0,NA,41.16,NA
Arabic,Religious Studies,63,42.34,42.45,-0.11
Arabic,Russian,0,NA,41.95,NA
Arabic,Sociology,167,40.45,40.61,-0.16
Arabic,Spanish,20,49.01,45.43,3.58
Arabic,Turkish,0,NA,45.35,NA
Arabic,Urdu,201,21.36,41.07,-19.71
Art & Design,Accounting/Finance,27,33.78,39.11,-5.33
Art & Design,Ancient History,87,49.23,41.61,7.62
Art & Design,Arabic,33,32.1,44.29,-12.19
Art & Design,Art & Design (3d Studies),407,34.5,34.84,-0.34
Art & Design,Art & Design (Critical Studies),69,48.76,39.06,9.7
Art & Design,Art & Design (Fine Art),247,37.68,35.28,2.4
Art & Design,Art & Design (Graphics),1182,33.97,35.14,-1.17
Art & Design,Art & Design (Photography),2146,35.23,39.31,-4.08
Art & Design,Art & Design (Textiles),809,43.75,43.8,-0.05
Art & Design,Bengali,4,20.64,39.96,-19.32
Art & Design,Biology,3032,43.82,37.39,6.43
Art & Design,Business  Studies:Single,2125,40.28,40.68,-0.4
Art & Design,Chemistry,1432,43.58,36.28,7.3
Art & Design,Chinese,202,42.92,38.78,4.14
Art & Design,Classical Civilisation,464,42.45,37.26,5.19
Art & Design,Classical Greek,8,56.98,36.3,20.68
Art & Design,Computer Studies/Computing,567,34.79,35.86,-1.07
Art & Design,D&T Engineering,8,64.16,43.48,20.68
Art & Design,D&T Product Design,1251,31.93,34.48,-2.55
Art & Design,D&T Textiles Technology,173,37.97,40.3,-2.33
Art & Design,Dance,57,39.3,35.29,4.01
Art & Design,Design & Technology,0,NA,43.55,NA
Art & Design,Drama & Theatre Studies,830,40.1,38.34,1.76
Art & Design,Economics,995,44.57,40.4,4.17
Art & Design,Electronics,0,NA,40.59,NA
Art & Design,English Language,1463,36.03,37.51,-1.48
Art & Design,English Language & Literature,798,33.79,34.58,-0.79
Art & Design,English Literature,5696,38.35,35.11,3.24
Art & Design,Environmental Science,67,44.8,44.12,0.68
Art & Design,Film Studies,1121,38.22,39.48,-1.26
Art & Design,French,647,43.29,37.76,5.53
Art & Design,Geography,2743,46.43,43.56,2.87
Art & Design,Geology,94,42.13,42.07,0.06
Art & Design,German,165,41.68,35.37,6.31
Art & Design,Government & Politics,673,42.61,39.85,2.76
Art & Design,Gujarati,0,NA,43.71,NA
Art & Design,History,3366,43.17,41.38,1.79
Art & Design,History of Art,154,43.02,34.91,8.11
Art & Design,Home Economics: Food,0,NA,43.97,NA
Art & Design,Information & Communications Technology,0,NA,34.39,NA
Art & Design,Irish,0,NA,34.4,NA
Art & Design,Italian,63,35.53,38.49,-2.96
Art & Design,Japanese,39,46.74,41.06,5.68
Art & Design,Latin,73,49.14,35.43,13.71
Art & Design,Law,434,36.78,41.8,-5.02
Art & Design,Logic/ Philosophy,416,38.73,35.02,3.71
Art & Design,Mathematics,5256,43.29,35.6,7.69
Art & Design,Mathematics (Further),349,45.64,34.46,11.18
Art & Design,Mathematics (Statistics),18,36.81,36.13,0.68
Art & Design,Media/Film/Tv Studies,1685,34.22,37.75,-3.53
Art & Design,Modern Greek,4,16.35,35.67,-19.32
Art & Design,Modern Hebrew,0,NA,41.71,NA
Art & Design,Music,334,47.31,42.47,4.84
Art & Design,Music Technology,93,35.66,40.29,-4.63
Art & Design,Other Classical Languages,0,NA,34.94,NA
Art & Design,Persian,13,43.92,38.24,5.68
Art & Design,Physical Education/Sports Studies,318,40.61,34.57,6.04
Art & Design,Physics,1905,40.89,35,5.89
Art & Design,Polish,122,39.01,41.19,-2.18
Art & Design,Portuguese,24,24.4,35.73,-11.33
Art & Design,Psychology,6645,39.71,38.03,1.68
Art & Design,Punjabi,5,27.42,36.74,-9.32
Art & Design,Religious Studies,1179,43.68,41.04,2.64
Art & Design,Russian,207,46.94,41.54,5.4
Art & Design,Sociology,3050,38.26,41.2,-2.94
Art & Design,Spanish,715,36.97,35.75,1.22
Art & Design,Turkish,52,38.51,40.06,-1.55
Art & Design,Urdu,0,NA,36.24,NA
Art & Design (3d Studies),Accounting/Finance,54,27.43,35.16,-7.73
Art & Design (3d Studies),Ancient History,27,35.31,38.09,-2.78
Art & Design (3d Studies),Arabic,39,30.83,31.89,-1.06
Art & Design (3d Studies),Art & Design,411,37.44,34.7,2.74
Art & Design (3d Studies),Art & Design (Critical Studies),37,32.53,36.46,-3.93
Art & Design (3d Studies),Art & Design (Fine Art),1048,43.14,39.11,4.03
Art & Design (3d Studies),Art & Design (Graphics),1136,35.65,36.31,-0.66
Art & Design (3d Studies),Art & Design (Photography),792,38.19,39.15,-0.96
Art & Design (3d Studies),Art & Design (Textiles),376,37.58,36,1.58
Art & Design (3d Studies),Bengali,0,NA,38.85,NA
Art & Design (3d Studies),Biology,467,43.73,38.72,5.01
Art & Design (3d Studies),Business  Studies:Single,1472,32.76,34.77,-2.01
Art & Design (3d Studies),Chemistry,272,34.47,32.48,1.99
Art & Design (3d Studies),Chinese,63,38.89,32.64,6.25
Art & Design (3d Studies),Classical Civilisation,96,37.73,34.48,3.25
Art & Design (3d Studies),Classical Greek,0,NA,39.14,NA
Art & Design (3d Studies),Computer Studies/Computing,368,36.58,37.17,-0.59
Art & Design (3d Studies),D&T Engineering,43,34.85,37.89,-3.04
Art & Design (3d Studies),D&T Product Design,113,35.71,38.71,-3
Art & Design (3d Studies),D&T Textiles Technology,0,NA,41.18,NA
Art & Design (3d Studies),Dance,8,61.14,37.91,23.23
Art & Design (3d Studies),Design & Technology,0,NA,39.85,NA
Art & Design (3d Studies),Drama & Theatre Studies,99,41.35,40.48,0.87
Art & Design (3d Studies),Economics,631,37.44,33.44,4
Art & Design (3d Studies),Electronics,31,25.72,38.25,-12.53
Art & Design (3d Studies),English Language,179,42.47,40.22,2.25
Art & Design (3d Studies),English Language & Literature,160,32.54,32.17,0.37
Art & Design (3d Studies),English Literature,428,44.79,40.25,4.54
Art & Design (3d Studies),Environmental Science,150,32.35,33.59,-1.24
Art & Design (3d Studies),Film Studies,254,37.71,36.51,1.2
Art & Design (3d Studies),French,92,41.75,41.66,0.09
Art & Design (3d Studies),Geography,1181,42.73,40.05,2.68
Art & Design (3d Studies),Geology,73,32.93,37.6,-4.67
Art & Design (3d Studies),German,24,44.37,41.14,3.23
Art & Design (3d Studies),Government & Politics,177,45.23,41.26,3.97
Art & Design (3d Studies),Gujarati,0,NA,40.3,NA
Art & Design (3d Studies),History,546,37.97,37.21,0.76
Art & Design (3d Studies),History of Art,101,43.01,31.7,11.31
Art & Design (3d Studies),Home Economics: Food,0,NA,40.74,NA
Art & Design (3d Studies),Information & Communications Technology,0,NA,39.93,NA
Art & Design (3d Studies),Irish,0,NA,33.59,NA
Art & Design (3d Studies),Italian,18,39.84,36.61,3.23
Art & Design (3d Studies),Japanese,0,NA,37.05,NA
Art & Design (3d Studies),Latin,0,NA,40.39,NA
Art & Design (3d Studies),Law,112,32.65,36.13,-3.48
Art & Design (3d Studies),Logic/ Philosophy,64,43.93,36.68,7.25
Art & Design (3d Studies),Mathematics,3066,41.84,34.41,7.43
Art & Design (3d Studies),Mathematics (Further),190,45.65,32.62,13.03
Art & Design (3d Studies),Mathematics (Statistics),62,37.69,32.44,5.25
Art & Design (3d Studies),Media/Film/Tv Studies,450,28.1,33.61,-5.51
Art & Design (3d Studies),Modern Greek,6,42.8,39.57,3.23
Art & Design (3d Studies),Modern Hebrew,0,NA,32.34,NA
Art & Design (3d Studies),Music,61,37.73,33.48,4.25
Art & Design (3d Studies),Music Technology,49,30.24,32.58,-2.34
Art & Design (3d Studies),Other Classical Languages,0,NA,36.68,NA
Art & Design (3d Studies),Persian,0,NA,34.62,NA
Art & Design (3d Studies),Physical Education/Sports Studies,135,36.33,37.71,-1.38
Art & Design (3d Studies),Physics,1566,39.82,34.59,5.23
Art & Design (3d Studies),Polish,11,38.97,40.75,-1.78
Art & Design (3d Studies),Portuguese,0,NA,35.66,NA
Art & Design (3d Studies),Psychology,828,36.7,33.68,3.02
Art & Design (3d Studies),Punjabi,0,NA,39.46,NA
Art & Design (3d Studies),Religious Studies,110,38.22,40.01,-1.79
Art & Design (3d Studies),Russian,14,48.71,35.48,13.23
Art & Design (3d Studies),Sociology,501,39.95,38.65,1.3
Art & Design (3d Studies),Spanish,62,43.69,38.44,5.25
Art & Design (3d Studies),Turkish,16,38.23,41.68,-3.45
Art & Design (3d Studies),Urdu,0,NA,35.53,NA
Art & Design (Critical Studies),Accounting/Finance,0,NA,32.49,NA
Art & Design (Critical Studies),Ancient History,0,NA,38.86,NA
Art & Design (Critical Studies),Arabic,4,18.08,35.05,-16.97
Art & Design (Critical Studies),Art & Design,64,43.59,35.91,7.68
Art & Design (Critical Studies),Art & Design (3d Studies),37,37.36,41.56,-4.2
Art & Design (Critical Studies),Art & Design (Fine Art),275,37.39,35.87,1.52
Art & Design (Critical Studies),Art & Design (Graphics),167,34.65,38.87,-4.22
Art & Design (Critical Studies),Art & Design (Photography),109,27.23,33.72,-6.49
Art & Design (Critical Studies),Art & Design (Textiles),104,36.59,42.23,-5.64
Art & Design (Critical Studies),Bengali,0,NA,38.95,NA
Art & Design (Critical Studies),Biology,9,28.15,40.17,-12.02
Art & Design (Critical Studies),Business  Studies:Single,17,38.68,38.87,-0.19
Art & Design (Critical Studies),Chemistry,0,NA,36.42,NA
Art & Design (Critical Studies),Chinese,26,28.17,33.2,-5.03
Art & Design (Critical Studies),Classical Civilisation,17,34.69,34.88,-0.19
Art & Design (Critical Studies),Classical Greek,0,NA,34.8,NA
Art & Design (Critical Studies),Computer Studies/Computing,6,44.72,41.56,3.16
Art & Design (Critical Studies),D&T Engineering,0,NA,36.97,NA
Art & Design (Critical Studies),D&T Product Design,0,NA,32.22,NA
Art & Design (Critical Studies),D&T Textiles Technology,7,49.41,36.17,13.24
Art & Design (Critical Studies),Dance,6,39.01,35.84,3.17
Art & Design (Critical Studies),Design & Technology,0,NA,35.27,NA
Art & Design (Critical Studies),Drama & Theatre Studies,13,48.63,40.37,8.26
Art & Design (Critical Studies),Economics,14,53.02,39.69,13.33
Art & Design (Critical Studies),Electronics,0,NA,41.16,NA
Art & Design (Critical Studies),English Language,23,37.07,36.4,0.67
Art & Design (Critical Studies),English Language & Literature,32,48.81,41.41,7.4
Art & Design (Critical Studies),English Literature,104,40.15,39.73,0.42
Art & Design (Critical Studies),Environmental Science,7,54.69,41.45,13.24
Art & Design (Critical Studies),Film Studies,19,32.44,42.06,-9.62
Art & Design (Critical Studies),French,30,38.33,35.07,3.26
Art & Design (Critical Studies),Geography,32,28.58,32.25,-3.67
Art & Design (Critical Studies),Geology,0,NA,36.62,NA
Art & Design (Critical Studies),German,0,NA,41.19,NA
Art & Design (Critical Studies),Government & Politics,48,38.62,35.29,3.33
Art & Design (Critical Studies),Gujarati,0,NA,35.02,NA
Art & Design (Critical Studies),History,45,31.32,31.96,-0.64
Art & Design (Critical Studies),History of Art,0,NA,34.53,NA
Art & Design (Critical Studies),Home Economics: Food,0,NA,41.03,NA
Art & Design (Critical Studies),Information & Communications Technology,0,NA,39.65,NA
Art & Design (Critical Studies),Irish,0,NA,35.21,NA
Art & Design (Critical Studies),Italian,0,NA,36.48,NA
Art & Design (Critical Studies),Japanese,8,61.3,37.99,23.31
Art & Design (Critical Studies),Latin,0,NA,37.71,NA
Art & Design (Critical Studies),Law,0,NA,32.34,NA
Art & Design (Critical Studies),Logic/ Philosophy,44,44.04,37.73,6.31
Art & Design (Critical Studies),Mathematics,30,57.63,38.96,18.67
Art & Design (Critical Studies),Mathematics (Further),0,NA,39.38,NA
Art & Design (Critical Studies),Mathematics (Statistics),0,NA,40.08,NA
Art & Design (Critical Studies),Media/Film/Tv Studies,49,46.07,41.41,4.66
Art & Design (Critical Studies),Modern Greek,0,NA,40.6,NA
Art & Design (Critical Studies),Modern Hebrew,0,NA,38.43,NA
Art & Design (Critical Studies),Music,5,25.25,32.15,-6.9
Art & Design (Critical Studies),Music Technology,0,NA,33.38,NA
Art & Design (Critical Studies),Other Classical Languages,0,NA,40.7,NA
Art & Design (Critical Studies),Persian,0,NA,39.01,NA
Art & Design (Critical Studies),Physical Education/Sports Studies,0,NA,31.94,NA
Art & Design (Critical Studies),Physics,5,32.32,39.22,-6.9
Art & Design (Critical Studies),Polish,0,NA,41.43,NA
Art & Design (Critical Studies),Portuguese,0,NA,37.33,NA
Art & Design (Critical Studies),Psychology,89,46.7,40.84,5.86
Art & Design (Critical Studies),Punjabi,0,NA,34.54,NA
Art & Design (Critical Studies),Religious Studies,32,41.84,34.43,7.41
Art & Design (Critical Studies),Russian,0,NA,36.4,NA
Art & Design (Critical Studies),Sociology,53,46.83,36.88,9.95
Art & Design (Critical Studies),Spanish,8,23.77,40.87,-17.1
Art & Design (Critical Studies),Turkish,0,NA,41.75,NA
Art & Design (Critical Studies),Urdu,0,NA,32.31,NA
Art & Design (Fine Art),Accounting/Finance,81,38.88,45.74,-6.86
Art & Design (Fine Art),Ancient History,247,39.25,45.68,-6.43
Art & Design (Fine Art),Arabic,73,44.14,45,-0.86
Art & Design (Fine Art),Art & Design,256,40.79,39.93,0.86
Art & Design (Fine Art),Art & Design (3d Studies),1036,36.43,38.56,-2.13
Art & Design (Fine Art),Art & Design (Critical Studies),265,33.49,37.34,-3.85
Art & Design (Fine Art),Art & Design (Graphics),4424,38.5,40.81,-2.31
Art & Design (Fine Art),Art & Design (Photography),6274,32.53,37.61,-5.08
Art & Design (Fine Art),Art & Design (Textiles),3342,37.17,37.07,0.1
Art & Design (Fine Art),Bengali,0,NA,42.81,NA
Art & Design (Fine Art),Biology,7954,49.7,43.67,6.03
Art & Design (Fine Art),Business  Studies:Single,5391,43.68,45.4,-1.72
Art & Design (Fine Art),Chemistry,4095,45.47,38.14,7.33
Art & Design (Fine Art),Chinese,651,38.05,36.54,1.51
Art & Design (Fine Art),Classical Civilisation,1862,44.03,39.48,4.55
Art & Design (Fine Art),Classical Greek,24,55.14,36,19.14
Art & Design (Fine Art),Computer Studies/Computing,1398,39.76,40.2,-0.44
Art & Design (Fine Art),D&T Engineering,80,37.84,36.39,1.45
Art & Design (Fine Art),D&T Product Design,3369,43.09,44.44,-1.35
Art & Design (Fine Art),D&T Textiles Technology,388,44.58,44.48,0.1
Art & Design (Fine Art),Dance,170,39.57,41.47,-1.9
Art & Design (Fine Art),Design & Technology,0,NA,44.36,NA
Art & Design (Fine Art),Drama & Theatre Studies,2184,42.26,41.41,0.85
Art & Design (Fine Art),Economics,2860,47.16,42.75,4.41
Art & Design (Fine Art),Electronics,44,46.63,44.63,2
Art & Design (Fine Art),English Language,3716,41.29,42.63,-1.34
Art & Design (Fine Art),English Language & Literature,2578,41.8,42.97,-1.17
Art & Design (Fine Art),English Literature,14816,46.52,43.07,3.45
Art & Design (Fine Art),Environmental Science,251,46.45,45.56,0.89
Art & Design (Fine Art),Film Studies,3033,44.18,45.82,-1.64
Art & Design (Fine Art),French,2160,49.3,43.38,5.92
Art & Design (Fine Art),Geography,6549,45.65,43.26,2.39
Art & Design (Fine Art),Geology,153,39.13,41.53,-2.4
Art & Design (Fine Art),German,550,42.1,38.7,3.4
Art & Design (Fine Art),Government & Politics,2349,46.77,43.11,3.66
Art & Design (Fine Art),Gujarati,0,NA,37.09,NA
Art & Design (Fine Art),History,9033,39.36,36.12,3.24
Art & Design (Fine Art),History of Art,1369,53.57,45.16,8.41
Art & Design (Fine Art),Home Economics: Food,0,NA,43.93,NA
Art & Design (Fine Art),Information & Communications Technology,0,NA,40.4,NA
Art & Design (Fine Art),Irish,0,NA,45.39,NA
Art & Design (Fine Art),Italian,208,44.82,41.43,3.39
Art & Design (Fine Art),Japanese,94,42.31,41.16,1.15
Art & Design (Fine Art),Latin,162,53,39.29,13.71
Art & Design (Fine Art),Law,1143,39.38,41.62,-2.24
Art & Design (Fine Art),Logic/ Philosophy,1132,48.78,44.61,4.17
Art & Design (Fine Art),Mathematics,13205,42.73,35.5,7.23
Art & Design (Fine Art),Mathematics (Further),1199,47.28,36.71,10.57
Art & Design (Fine Art),Mathematics (Statistics),29,27.81,40.34,-12.53
Art & Design (Fine Art),Media/Film/Tv Studies,4410,38.32,41.86,-3.54
Art & Design (Fine Art),Modern Greek,20,50.28,44.47,5.81
Art & Design (Fine Art),Modern Hebrew,0,NA,44.34,NA
Art & Design (Fine Art),Music,884,48.15,45.55,2.6
Art & Design (Fine Art),Music Technology,294,43.21,43.86,-0.65
Art & Design (Fine Art),Other Classical Languages,8,55.98,36.83,19.15
Art & Design (Fine Art),Persian,47,51.86,45.57,6.29
Art & Design (Fine Art),Physical Education/Sports Studies,919,41.97,41.2,0.77
Art & Design (Fine Art),Physics,4722,49.48,43.61,5.87
Art & Design (Fine Art),Polish,239,40.58,41.44,-0.86
Art & Design (Fine Art),Portuguese,53,36.13,38.1,-1.97
Art & Design (Fine Art),Psychology,15942,39.1,38.3,0.8
Art & Design (Fine Art),Punjabi,5,25.24,36.1,-10.86
