"subject_1","Grade_1","subject_2","number_students","PPE_TakingSubj2","PPE_NOTTakingSubj2"
"Accounting/Finance","A","Bengali",0,"z","z"
"Accounting/Finance","A","Biology",5,"z","z"
"Accounting/Finance","A","Business  Studies:Single",146,"z","z"
"Accounting/Finance","A","Chemistry",10,"z","z"
"Accounting/Finance","A","Chinese",1,"z","z"
"Accounting/Finance","A","Classical Civilisation",1,"z","z"
"Accounting/Finance","A","Classical Greek",0,"z","z"
"Accounting/Finance","A","Computer Studies/Computing",20,"z","z"
"Accounting/Finance","A","D&T Engineering",1,"z","z"
"Accounting/Finance","A","D&T Product Design",0,"z","z"
"Accounting/Finance","A","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","A","Dance",1,"z","z"
"Accounting/Finance","A","Design & Technology",0,"z","z"
"Accounting/Finance","A","Drama & Theatre Studies",1,"z","z"
"Accounting/Finance","A","Economics",112,"z","z"
"Accounting/Finance","A","Electronics",1,"z","z"
"Accounting/Finance","A","English Language",1,"z","z"
"Accounting/Finance","A","English Language & Literature",0,"z","z"
"Accounting/Finance","A","English Literature",3,"z","z"
"Accounting/Finance","A","Environmental Science",1,"z","z"
"Accounting/Finance","A","Film Studies",0,"z","z"
"Accounting/Finance","A","French",0,"z","z"
"Accounting/Finance","A","Geography",16,"z","z"
"Accounting/Finance","A","Geology",2,"z","z"
"Accounting/Finance","A","German",0,"z","z"
"Accounting/Finance","A","Government & Politics",3,"z","z"
"Accounting/Finance","A","Gujarati",0,"z","z"
"Accounting/Finance","A","History",6,"z","z"
"Accounting/Finance","A","History of Art",0,"z","z"
"Accounting/Finance","A","Home Economics: Food",0,"z","z"
"Accounting/Finance","A","Information & Communications Technology",0,"z","z"
"Accounting/Finance","A","Irish",0,"z","z"
"Accounting/Finance","A","Italian",0,"z","z"
"Accounting/Finance","A","Japanese",0,"z","z"
"Accounting/Finance","A","Latin",0,"z","z"
"Accounting/Finance","A","Law",14,"z","z"
"Accounting/Finance","A","Logic/ Philosophy",0,"z","z"
"Accounting/Finance","A","Mathematics",168,"z","z"
"Accounting/Finance","A","Mathematics (Further)",24,"z","z"
"Accounting/Finance","A","Mathematics (Statistics)",6,"z","z"
"Accounting/Finance","A","Media/Film/Tv Studies",5,"z","z"
"Accounting/Finance","A","Modern Greek",0,"z","z"
"Accounting/Finance","A","Modern Hebrew",0,"z","z"
"Accounting/Finance","A","Music",1,"z","z"
"Accounting/Finance","A","Music Technology",0,"z","z"
"Accounting/Finance","A","Other Classical Languages",0,"z","z"
"Accounting/Finance","A","Persian",0,"z","z"
"Accounting/Finance","A","Physical Education/Sports Studies",11,"z","z"
"Accounting/Finance","A","Physics",21,"z","z"
"Accounting/Finance","A","Polish",0,"z","z"
"Accounting/Finance","A","Portuguese",0,"z","z"
"Accounting/Finance","A","Psychology",15,"z","z"
"Accounting/Finance","A","Punjabi",0,"z","z"
"Accounting/Finance","A","Religious Studies",2,"z","z"
"Accounting/Finance","A","Russian",0,"z","z"
"Accounting/Finance","A","Sociology",8,"z","z"
"Accounting/Finance","A","Spanish",2,"z","z"
"Accounting/Finance","A","Turkish",0,"z","z"
"Accounting/Finance","A","Urdu",0,"z","z"
"Accounting/Finance","All","Ancient History",12,"25.44","30.65"
"Accounting/Finance","All","Arabic",2,"21.7","30.22"
"Accounting/Finance","All","Art & Design",5,"18.96","29.49"
"Accounting/Finance","All","Art & Design (3d Studies)",11,"16.75","28.96"
"Accounting/Finance","All","Art & Design (Critical Studies)",0,NA,"30.13"
"Accounting/Finance","All","Art & Design (Fine Art)",14,"25.24","24.41"
"Accounting/Finance","All","Art & Design (Graphics)",24,"31.24","32.38"
"Accounting/Finance","All","Art & Design (Photography)",11,"20.26","30.64"
"Accounting/Finance","All","Art & Design (Textiles)",7,"30.11","24.32"
"Accounting/Finance","All","Bengali",0,NA,"26.59"
"Accounting/Finance","All","Biology",51,"29.9","29.18"
"Accounting/Finance","All","Business  Studies:Single",1117,"33.71","32.69"
"Accounting/Finance","All","Chemistry",42,"34.57","31.07"
"Accounting/Finance","All","Chinese",6,"33.16","26.66"
"Accounting/Finance","All","Classical Civilisation",3,"34.92","30.09"
"Accounting/Finance","All","Classical Greek",0,NA,"26.91"
"Accounting/Finance","All","Computer Studies/Computing",132,"33.32","31.74"
"Accounting/Finance","All","D&T Engineering",6,"25.98","29.5"
"Accounting/Finance","All","D&T Product Design",16,"21.92","25.16"
"Accounting/Finance","All","D&T Textiles Technology",0,NA,"24.13"
"Accounting/Finance","All","Dance",3,"44.63","29.79"
"Accounting/Finance","All","Design & Technology",0,NA,"30.66"
"Accounting/Finance","All","Drama & Theatre Studies",5,"22.29","24.81"
"Accounting/Finance","All","Economics",687,"27.5","24.49"
"Accounting/Finance","All","Electronics",7,"31.92","30.43"
"Accounting/Finance","All","English Language",21,"29.49","31.51"
"Accounting/Finance","All","English Language & Literature",9,"24.32","29.52"
"Accounting/Finance","All","English Literature",21,"28.67","30.05"
"Accounting/Finance","All","Environmental Science",3,"29.32","31.17"
"Accounting/Finance","All","Film Studies",9,"26.81","27.54"
"Accounting/Finance","All","French",5,"28.49","33.01"
"Accounting/Finance","All","Geography",107,"33.18","32.74"
"Accounting/Finance","All","Geology",3,"47.73","32.88"
"Accounting/Finance","All","German",0,NA,"24.79"
"Accounting/Finance","All","Government & Politics",18,"24.61","24.71"
"Accounting/Finance","All","Gujarati",0,NA,"24.7"
"Accounting/Finance","All","History",81,"31.45","32.3"
"Accounting/Finance","All","History of Art",0,NA,"32.79"
"Accounting/Finance","All","Home Economics: Food",0,NA,"31.45"
"Accounting/Finance","All","Information & Communications Technology",0,NA,"26.93"
"Accounting/Finance","All","Irish",0,NA,"27.71"
"Accounting/Finance","All","Italian",3,"12.78","27.97"
"Accounting/Finance","All","Japanese",0,NA,"30.78"
"Accounting/Finance","All","Latin",0,NA,"25.55"
"Accounting/Finance","All","Law",151,"25.94","29.13"
"Accounting/Finance","All","Logic/ Philosophy",3,"23.59","28.77"
"Accounting/Finance","All","Mathematics",649,"37.46","27.52"
"Accounting/Finance","All","Mathematics (Further)",34,"47.49","30.3"
"Accounting/Finance","All","Mathematics (Statistics)",36,"28.93","27.42"
"Accounting/Finance","All","Media/Film/Tv Studies",34,"26.11","29.97"
"Accounting/Finance","All","Modern Greek",0,NA,"30.81"
"Accounting/Finance","All","Modern Hebrew",0,NA,"33.14"
"Accounting/Finance","All","Music",3,"28.49","30.33"
"Accounting/Finance","All","Music Technology",4,"23.47","24.48"
"Accounting/Finance","All","Other Classical Languages",0,NA,"31.34"
"Accounting/Finance","All","Persian",0,NA,"31.36"
"Accounting/Finance","All","Physical Education/Sports Studies",44,"31.54","26.84"
"Accounting/Finance","All","Physics",72,"40.78","33.26"
"Accounting/Finance","All","Polish",3,"9.63","24.82"
"Accounting/Finance","All","Portuguese",0,NA,"27.66"
"Accounting/Finance","All","Psychology",163,"24.25","26.2"
"Accounting/Finance","All","Punjabi",0,NA,"29.61"
"Accounting/Finance","All","Religious Studies",12,"23.38","24.4"
"Accounting/Finance","All","Russian",0,NA,"23.78"
"Accounting/Finance","All","Sociology",87,"25.09","30.51"
"Accounting/Finance","All","Spanish",19,"23.78","25.99"
"Accounting/Finance","All","Turkish",0,NA,"27.88"
"Accounting/Finance","All","Urdu",0,NA,"28.02"
"Accounting/Finance","B","Ancient History",2,"z","z"
"Accounting/Finance","B","Arabic",0,"z","z"
"Accounting/Finance","B","Art & Design",1,"z","z"
"Accounting/Finance","B","Art & Design (3d Studies)",1,"z","z"
"Accounting/Finance","B","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","B","Art & Design (Fine Art)",5,"z","z"
"Accounting/Finance","B","Art & Design (Graphics)",7,"z","z"
"Accounting/Finance","B","Art & Design (Photography)",2,"z","z"
"Accounting/Finance","B","Art & Design (Textiles)",4,"z","z"
"Accounting/Finance","B","Bengali",0,"z","z"
"Accounting/Finance","B","Biology",22,"z","z"
"Accounting/Finance","B","Business  Studies:Single",348,"z","z"
"Accounting/Finance","B","Chemistry",18,"z","z"
"Accounting/Finance","B","Chinese",4,"z","z"
"Accounting/Finance","B","Classical Civilisation",1,"z","z"
"Accounting/Finance","B","Classical Greek",0,"z","z"
"Accounting/Finance","B","Computer Studies/Computing",46,"z","z"
"Accounting/Finance","B","D&T Engineering",1,"z","z"
"Accounting/Finance","B","D&T Product Design",3,"z","z"
"Accounting/Finance","B","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","B","Dance",2,"z","z"
"Accounting/Finance","B","Design & Technology",0,"z","z"
"Accounting/Finance","B","Drama & Theatre Studies",1,"z","z"
"Accounting/Finance","B","Economics",267,"z","z"
"Accounting/Finance","B","Electronics",2,"z","z"
"Accounting/Finance","B","English Language",5,"z","z"
"Accounting/Finance","B","English Language & Literature",2,"z","z"
"Accounting/Finance","B","English Literature",8,"z","z"
"Accounting/Finance","B","Environmental Science",1,"z","z"
"Accounting/Finance","B","Film Studies",3,"z","z"
"Accounting/Finance","B","French",1,"z","z"
"Accounting/Finance","B","Geography",32,"z","z"
"Accounting/Finance","B","Geology",2,"z","z"
"Accounting/Finance","B","German",0,"z","z"
"Accounting/Finance","B","Government & Politics",6,"z","z"
"Accounting/Finance","B","Gujarati",0,"z","z"
"Accounting/Finance","B","History",21,"z","z"
"Accounting/Finance","B","History of Art",0,"z","z"
"Accounting/Finance","B","Home Economics: Food",0,"z","z"
"Accounting/Finance","B","Information & Communications Technology",0,"z","z"
"Accounting/Finance","B","Irish",0,"z","z"
"Accounting/Finance","B","Italian",0,"z","z"
"Accounting/Finance","B","Japanese",0,"z","z"
"Accounting/Finance","B","Latin",0,"z","z"
"Accounting/Finance","B","Law",37,"z","z"
"Accounting/Finance","B","Logic/ Philosophy",0,"z","z"
"Accounting/Finance","B","Mathematics",338,"z","z"
"Accounting/Finance","B","Mathematics (Further)",27,"z","z"
"Accounting/Finance","B","Mathematics (Statistics)",12,"z","z"
"Accounting/Finance","B","Media/Film/Tv Studies",9,"z","z"
"Accounting/Finance","B","Modern Greek",0,"z","z"
"Accounting/Finance","B","Modern Hebrew",0,"z","z"
"Accounting/Finance","B","Music",1,"z","z"
"Accounting/Finance","B","Music Technology",1,"z","z"
"Accounting/Finance","B","Other Classical Languages",0,"z","z"
"Accounting/Finance","B","Persian",0,"z","z"
"Accounting/Finance","B","Physical Education/Sports Studies",20,"z","z"
"Accounting/Finance","B","Physics",40,"z","z"
"Accounting/Finance","B","Polish",0,"z","z"
"Accounting/Finance","B","Portuguese",0,"z","z"
"Accounting/Finance","B","Psychology",48,"z","z"
"Accounting/Finance","B","Punjabi",0,"z","z"
"Accounting/Finance","B","Religious Studies",5,"z","z"
"Accounting/Finance","B","Russian",0,"z","z"
"Accounting/Finance","B","Sociology",23,"z","z"
"Accounting/Finance","B","Spanish",5,"z","z"
"Accounting/Finance","B","Turkish",0,"z","z"
"Accounting/Finance","B","Urdu",0,"z","z"
"Accounting/Finance","C","Ancient History",5,"z","z"
"Accounting/Finance","C","Arabic",0,"z","z"
"Accounting/Finance","C","Art & Design",2,"z","z"
"Accounting/Finance","C","Art & Design (3d Studies)",4,"z","z"
"Accounting/Finance","C","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","C","Art & Design (Fine Art)",8,"z","z"
"Accounting/Finance","C","Art & Design (Graphics)",13,"z","z"
"Accounting/Finance","C","Art & Design (Photography)",4,"z","z"
"Accounting/Finance","C","Art & Design (Textiles)",6,"z","z"
"Accounting/Finance","C","Bengali",0,"z","z"
"Accounting/Finance","C","Biology",34,"z","z"
"Accounting/Finance","C","Business  Studies:Single",624,"z","z"
"Accounting/Finance","C","Chemistry",26,"z","z"
"Accounting/Finance","C","Chinese",4,"z","z"
"Accounting/Finance","C","Classical Civilisation",2,"z","z"
"Accounting/Finance","C","Classical Greek",0,"z","z"
"Accounting/Finance","C","Computer Studies/Computing",84,"z","z"
"Accounting/Finance","C","D&T Engineering",2,"z","z"
"Accounting/Finance","C","D&T Product Design",10,"z","z"
"Accounting/Finance","C","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","C","Dance",3,"z","z"
"Accounting/Finance","C","Design & Technology",0,"z","z"
"Accounting/Finance","C","Drama & Theatre Studies",2,"z","z"
"Accounting/Finance","C","Economics",474,"z","z"
"Accounting/Finance","C","Electronics",5,"z","z"
"Accounting/Finance","C","English Language",12,"z","z"
"Accounting/Finance","C","English Language & Literature",4,"z","z"
"Accounting/Finance","C","English Literature",12,"z","z"
"Accounting/Finance","C","Environmental Science",1,"z","z"
"Accounting/Finance","C","Film Studies",5,"z","z"
"Accounting/Finance","C","French",3,"z","z"
"Accounting/Finance","C","Geography",62,"z","z"
"Accounting/Finance","C","Geology",3,"z","z"
"Accounting/Finance","C","German",0,"z","z"
"Accounting/Finance","C","Government & Politics",12,"z","z"
"Accounting/Finance","C","Gujarati",0,"z","z"
"Accounting/Finance","C","History",47,"z","z"
"Accounting/Finance","C","History of Art",0,"z","z"
"Accounting/Finance","C","Home Economics: Food",0,"z","z"
"Accounting/Finance","C","Information & Communications Technology",0,"z","z"
"Accounting/Finance","C","Irish",0,"z","z"
"Accounting/Finance","C","Italian",1,"z","z"
"Accounting/Finance","C","Japanese",0,"z","z"
"Accounting/Finance","C","Latin",0,"z","z"
"Accounting/Finance","C","Law",76,"z","z"
"Accounting/Finance","C","Logic/ Philosophy",2,"z","z"
"Accounting/Finance","C","Mathematics",494,"z","z"
"Accounting/Finance","C","Mathematics (Further)",28,"z","z"
"Accounting/Finance","C","Mathematics (Statistics)",20,"z","z"
"Accounting/Finance","C","Media/Film/Tv Studies",11,"z","z"
"Accounting/Finance","C","Modern Greek",0,"z","z"
"Accounting/Finance","C","Modern Hebrew",0,"z","z"
"Accounting/Finance","C","Music",2,"z","z"
"Accounting/Finance","C","Music Technology",3,"z","z"
"Accounting/Finance","C","Other Classical Languages",0,"z","z"
"Accounting/Finance","C","Persian",0,"z","z"
"Accounting/Finance","C","Physical Education/Sports Studies",33,"z","z"
"Accounting/Finance","C","Physics",55,"z","z"
"Accounting/Finance","C","Polish",0,"z","z"
"Accounting/Finance","C","Portuguese",0,"z","z"
"Accounting/Finance","C","Psychology",90,"z","z"
"Accounting/Finance","C","Punjabi",0,"z","z"
"Accounting/Finance","C","Religious Studies",6,"z","z"
"Accounting/Finance","C","Russian",0,"z","z"
"Accounting/Finance","C","Sociology",35,"z","z"
"Accounting/Finance","C","Spanish",8,"z","z"
"Accounting/Finance","C","Turkish",0,"z","z"
"Accounting/Finance","C","Urdu",0,"z","z"
"Accounting/Finance","D","Ancient History",9,"z","z"
"Accounting/Finance","D","Arabic",2,"z","z"
"Accounting/Finance","D","Art & Design",2,"z","z"
"Accounting/Finance","D","Art & Design (3d Studies)",5,"z","z"
"Accounting/Finance","D","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","D","Art & Design (Fine Art)",13,"z","z"
"Accounting/Finance","D","Art & Design (Graphics)",19,"z","z"
"Accounting/Finance","D","Art & Design (Photography)",6,"z","z"
"Accounting/Finance","D","Art & Design (Textiles)",6,"z","z"
"Accounting/Finance","D","Bengali",0,"z","z"
"Accounting/Finance","D","Biology",41,"z","z"
"Accounting/Finance","D","Business  Studies:Single",948,"z","z"
"Accounting/Finance","D","Chemistry",35,"z","z"
"Accounting/Finance","D","Chinese",6,"z","z"
"Accounting/Finance","D","Classical Civilisation",3,"z","z"
"Accounting/Finance","D","Classical Greek",0,"z","z"
"Accounting/Finance","D","Computer Studies/Computing",104,"z","z"
"Accounting/Finance","D","D&T Engineering",5,"z","z"
"Accounting/Finance","D","D&T Product Design",15,"z","z"
"Accounting/Finance","D","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","D","Dance",3,"z","z"
"Accounting/Finance","D","Design & Technology",0,"z","z"
"Accounting/Finance","D","Drama & Theatre Studies",4,"z","z"
"Accounting/Finance","D","Economics",631,"z","z"
"Accounting/Finance","D","Electronics",6,"z","z"
"Accounting/Finance","D","English Language",17,"z","z"
"Accounting/Finance","D","English Language & Literature",7,"z","z"
"Accounting/Finance","D","English Literature",14,"z","z"
"Accounting/Finance","D","Environmental Science",2,"z","z"
"Accounting/Finance","D","Film Studies",8,"z","z"
"Accounting/Finance","D","French",3,"z","z"
"Accounting/Finance","D","Geography",86,"z","z"
"Accounting/Finance","D","Geology",3,"z","z"
"Accounting/Finance","D","German",0,"z","z"
"Accounting/Finance","D","Government & Politics",16,"z","z"
"Accounting/Finance","D","Gujarati",0,"z","z"
"Accounting/Finance","D","History",65,"z","z"
"Accounting/Finance","D","History of Art",0,"z","z"
"Accounting/Finance","D","Home Economics: Food",0,"z","z"
"Accounting/Finance","D","Information & Communications Technology",0,"z","z"
"Accounting/Finance","D","Irish",0,"z","z"
"Accounting/Finance","D","Italian",1,"z","z"
"Accounting/Finance","D","Japanese",0,"z","z"
"Accounting/Finance","D","Latin",0,"z","z"
"Accounting/Finance","D","Law",118,"z","z"
"Accounting/Finance","D","Logic/ Philosophy",2,"z","z"
"Accounting/Finance","D","Mathematics",582,"z","z"
"Accounting/Finance","D","Mathematics (Further)",32,"z","z"
"Accounting/Finance","D","Mathematics (Statistics)",32,"z","z"
"Accounting/Finance","D","Media/Film/Tv Studies",27,"z","z"
"Accounting/Finance","D","Modern Greek",0,"z","z"
"Accounting/Finance","D","Modern Hebrew",0,"z","z"
"Accounting/Finance","D","Music",2,"z","z"
"Accounting/Finance","D","Music Technology",3,"z","z"
"Accounting/Finance","D","Other Classical Languages",0,"z","z"
"Accounting/Finance","D","Persian",0,"z","z"
"Accounting/Finance","D","Physical Education/Sports Studies",42,"z","z"
"Accounting/Finance","D","Physics",64,"z","z"
"Accounting/Finance","D","Polish",2,"z","z"
"Accounting/Finance","D","Portuguese",0,"z","z"
"Accounting/Finance","D","Psychology",132,"z","z"
"Accounting/Finance","D","Punjabi",0,"z","z"
"Accounting/Finance","D","Religious Studies",9,"z","z"
"Accounting/Finance","D","Russian",0,"z","z"
"Accounting/Finance","D","Sociology",55,"z","z"
"Accounting/Finance","D","Spanish",18,"z","z"
"Accounting/Finance","D","Turkish",0,"z","z"
"Accounting/Finance","D","Urdu",0,"z","z"
"Accounting/Finance","E","Ancient History",12,"z","z"
"Accounting/Finance","E","Arabic",2,"z","z"
"Accounting/Finance","E","Art & Design",4,"z","z"
"Accounting/Finance","E","Art & Design (3d Studies)",8,"z","z"
"Accounting/Finance","E","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","E","Art & Design (Fine Art)",16,"z","z"
"Accounting/Finance","E","Art & Design (Graphics)",19,"z","z"
"Accounting/Finance","E","Art & Design (Photography)",8,"z","z"
"Accounting/Finance","E","Art & Design (Textiles)",7,"z","z"
"Accounting/Finance","E","Bengali",0,"z","z"
"Accounting/Finance","E","Biology",51,"z","z"
"Accounting/Finance","E","Business  Studies:Single",990,"z","z"
"Accounting/Finance","E","Chemistry",42,"z","z"
"Accounting/Finance","E","Chinese",6,"z","z"
"Accounting/Finance","E","Classical Civilisation",3,"z","z"
"Accounting/Finance","E","Classical Greek",0,"z","z"
"Accounting/Finance","E","Computer Studies/Computing",124,"z","z"
"Accounting/Finance","E","D&T Engineering",6,"z","z"
"Accounting/Finance","E","D&T Product Design",16,"z","z"
"Accounting/Finance","E","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","E","Dance",3,"z","z"
"Accounting/Finance","E","Design & Technology",0,"z","z"
"Accounting/Finance","E","Drama & Theatre Studies",4,"z","z"
"Accounting/Finance","E","Economics",722,"z","z"
"Accounting/Finance","E","Electronics",7,"z","z"
"Accounting/Finance","E","English Language",18,"z","z"
"Accounting/Finance","E","English Language & Literature",8,"z","z"
"Accounting/Finance","E","English Literature",21,"z","z"
"Accounting/Finance","E","Environmental Science",3,"z","z"
"Accounting/Finance","E","Film Studies",9,"z","z"
"Accounting/Finance","E","French",5,"z","z"
"Accounting/Finance","E","Geography",96,"z","z"
"Accounting/Finance","E","Geology",3,"z","z"
"Accounting/Finance","E","German",0,"z","z"
"Accounting/Finance","E","Government & Politics",18,"z","z"
"Accounting/Finance","E","Gujarati",0,"z","z"
"Accounting/Finance","E","History",73,"z","z"
"Accounting/Finance","E","History of Art",0,"z","z"
"Accounting/Finance","E","Home Economics: Food",0,"z","z"
"Accounting/Finance","E","Information & Communications Technology",0,"z","z"
"Accounting/Finance","E","Irish",0,"z","z"
"Accounting/Finance","E","Italian",2,"z","z"
"Accounting/Finance","E","Japanese",0,"z","z"
"Accounting/Finance","E","Latin",0,"z","z"
"Accounting/Finance","E","Law",143,"z","z"
"Accounting/Finance","E","Logic/ Philosophy",3,"z","z"
"Accounting/Finance","E","Mathematics",640,"z","z"
"Accounting/Finance","E","Mathematics (Further)",34,"z","z"
"Accounting/Finance","E","Mathematics (Statistics)",34,"z","z"
"Accounting/Finance","E","Media/Film/Tv Studies",31,"z","z"
"Accounting/Finance","E","Modern Greek",0,"z","z"
"Accounting/Finance","E","Modern Hebrew",0,"z","z"
"Accounting/Finance","E","Music",2,"z","z"
"Accounting/Finance","E","Music Technology",4,"z","z"
"Accounting/Finance","E","Other Classical Languages",0,"z","z"
"Accounting/Finance","E","Persian",0,"z","z"
"Accounting/Finance","E","Physical Education/Sports Studies",44,"z","z"
"Accounting/Finance","E","Physics",67,"z","z"
"Accounting/Finance","E","Polish",2,"z","z"
"Accounting/Finance","E","Portuguese",0,"z","z"
"Accounting/Finance","E","Psychology",151,"z","z"
"Accounting/Finance","E","Punjabi",0,"z","z"
"Accounting/Finance","E","Religious Studies",10,"z","z"
"Accounting/Finance","E","Russian",0,"z","z"
"Accounting/Finance","E","Sociology",73,"z","z"
"Accounting/Finance","E","Spanish",18,"z","z"
"Accounting/Finance","E","Turkish",0,"z","z"
"Accounting/Finance","E","Urdu",0,"z","z"
"Accounting/Finance","U","Ancient History",12,"z","z"
"Accounting/Finance","U","Arabic",2,"z","z"
"Accounting/Finance","U","Art & Design",5,"z","z"
"Accounting/Finance","U","Art & Design (3d Studies)",11,"z","z"
"Accounting/Finance","U","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","U","Art & Design (Fine Art)",16,"z","z"
"Accounting/Finance","U","Art & Design (Graphics)",22,"z","z"
"Accounting/Finance","U","Art & Design (Photography)",11,"z","z"
"Accounting/Finance","U","Art & Design (Textiles)",7,"z","z"
"Accounting/Finance","U","Bengali",0,"z","z"
"Accounting/Finance","U","Biology",52,"z","z"
"Accounting/Finance","U","Business  Studies:Single",1046,"z","z"
"Accounting/Finance","U","Chemistry",43,"z","z"
"Accounting/Finance","U","Chinese",6,"z","z"
"Accounting/Finance","U","Classical Civilisation",3,"z","z"
"Accounting/Finance","U","Classical Greek",0,"z","z"
"Accounting/Finance","U","Computer Studies/Computing",126,"z","z"
"Accounting/Finance","U","D&T Engineering",6,"z","z"
"Accounting/Finance","U","D&T Product Design",17,"z","z"
"Accounting/Finance","U","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","U","Dance",3,"z","z"
"Accounting/Finance","U","Design & Technology",0,"z","z"
"Accounting/Finance","U","Drama & Theatre Studies",5,"z","z"
"Accounting/Finance","U","Economics",677,"z","z"
"Accounting/Finance","U","Electronics",7,"z","z"
"Accounting/Finance","U","English Language",19,"z","z"
"Accounting/Finance","U","English Language & Literature",9,"z","z"
"Accounting/Finance","U","English Literature",22,"z","z"
"Accounting/Finance","U","Environmental Science",3,"z","z"
"Accounting/Finance","U","Film Studies",9,"z","z"
